frame,t_sec,danger_raw,danger_smoothed,category,shot_score,shot_signal_kmh,set_piece_confidence,attacking_team,n_attackers,n_defenders,count_anomaly,ball_dist_to_goal_m,closing_speed_kmh,ball_speed_kmh,hull_area_m2,score_ball_proximity,score_space_control,score_compactness,score_numerical_advantage,score_ball_velocity
32,1.28,44.616372127605366,43.763560417393585,NONE,,-0.9674783590427602,,1,10,10,False,40.44876654209027,-314.50818133513025,327.193367035717,185.71500541395562,63.35085805998636,68.73015873015873,6.190500180465188,50.0,0.0
33,1.32,43.58055575695894,41.03829061875271,NONE,,-1.1824735499411514,,1,10,10,False,43.96616520768114,-316.5658799031781,327.1933670357164,185.64389272156268,60.163872300588395,68.41269841269842,6.188129757385423,50.0,0.0
34,1.36,42.774184348227394,38.219309976589265,NONE,,-1.3974687408395425,,1,10,10,False,47.50134848624426,-318.1664950706812,327.193367035717,184.8095638750633,56.96077255649106,69.04761904761905,6.160318795835443,50.0,0.0
35,1.4,41.845715381810635,36.695584798119135,NONE,,-1.612463931737934,,1,10,10,False,51.050621833666696,-319.43460126801915,327.193367035717,184.1312369383786,53.74490631843813,69.2063492063492,6.137707897945954,50.0,0.0
36,1.44,26.1632998631279,35.25124891253291,NONE,,-1.8274591226363248,,1,10,9,False,54.61123810944403,-320.4554648199601,327.1933670357164,285.6611965792126,50.51876266955586,20.317460317460316,9.522039885973754,30.0,0.0
37,1.48,25.072057291737703,33.80610860425282,NONE,,-2.042454313534716,,1,9,9,False,58.18111482894304,-321.2889047549106,327.193367035717,285.29425792240363,47.28422847269409,19.841269841269842,9.509808597413455,30.0,0.0
38,1.52,24.091997635313106,31.85456323755855,NONE,,-2.2574495044331075,,1,9,9,False,61.75864614999942,-321.97781889507456,327.193367035717,283.7705116511934,44.0427587224656,19.841269841269842,9.45901705503978,30.0,0.0
39,1.56,23.00470670358251,29.93661925004359,NONE,,-2.4724446953314985,,1,9,9,False,65.3425748074939,-322.5535791745034,327.1933670357164,284.9578176251125,40.79549258062368,19.365079365079367,9.498593920837084,30.0,0.0
40,1.6,30.036066270746403,28.025993077167115,NONE,,-2.632805702764249,,1,9,9,False,65.37362966840145,-2.794937481679085,2.9371946077157665,285.0056086632612,40.76735491160123,18.571428571428573,9.500186955442041,30.0,48.25316407395057
41,1.64,29.95113908260474,26.133894366486274,NONE,,-4.637400004043865,,1,9,9,False,65.40464517883161,-2.7913959387149134,2.933357249140167,285.5129038773666,40.73925289660123,18.253968253968253,9.51709679591222,30.0,48.25537753830318
42,1.68,29.049951678001015,24.758188841231355,NONE,,-7.0770569489290125,,1,10,9,False,65.52001544888718,-10.38332430500077,13.82589715171167,285.64207746374814,40.634720131713976,17.61904761904762,9.521402582124939,30.0,43.51042230937452
43,1.72,22.068712710986947,24.50834287236576,NONE,,-9.95177653741969,,1,10,9,False,67.01627882979592,-134.66370428178692,195.89533720668777,283.98601935570696,39.27901083043016,17.46031746031746,9.46620064519023,30.0,0.0
44,1.76,21.601044277425842,24.409980833520123,NONE,,-13.316192952981538,,1,10,9,False,68.7199380376605,-153.32932870781178,218.2200733982438,283.0697152696812,37.73538778666025,17.46031746031746,9.43565717565604,30.0,0.0
45,1.8,20.65304168244119,24.162265029418993,NONE,,-15.27143871830205,,1,10,9,False,70.59104302912829,-168.39944923210098,232.93688283228408,282.49115471932237,36.04004826757718,15.714285714285714,9.416371823977412,30.0,0.0
46,1.84,20.068999820057265,23.984272296130857,NONE,,-17.226684483622563,,1,10,9,False,72.8544740322614,-203.70879028197962,206.12233821328934,328.4140245631661,33.989236556942345,14.920634920634921,10.947134152105537,30.0,0.0
47,1.88,25.337249078751583,23.27210813629856,NONE,,-22.801896750921813,,1,10,9,False,73.07846906705699,-20.15955313160333,47.385755924326496,327.7882735827843,33.786282881815076,13.80952380952381,10.92627578609281,30.0,37.40027929274792
48,1.92,23.16514823674081,22.535666868451273,NONE,,-21.534399245861238,,1,10,9,False,73.48507645488853,-36.594664904838794,60.742559626661375,326.8057754253532,33.417870859782475,11.746031746031745,10.893525847511773,30.0,27.128334434475754
49,1.96,23.89171282559004,21.983531144616734,NONE,,-26.63628428729762,,1,9,9,False,73.60928836134097,-11.179071580720006,42.43009832603661,327.72577458059095,33.305327012852594,5.238095238095238,10.924192486019699,30.0,43.013080262049996
50,2.0,21.11940798609957,22.095815313636383,NONE,,-31.276903391152864,,1,9,9,False,74.03830888947462,-38.61184753202835,67.92729182521849,326.8255563647108,32.916607267483144,4.920634920634921,10.894185212157026,30.0,25.86759529248228
51,2.04,20.868793904124885,21.582211218295708,NONE,,-29.794987806815847,,1,9,9,False,74.46855366221934,-38.722029547024306,69.18864179319932,325.9679158676445,32.52677827903027,4.444444444444445,10.86559719558815,30.0,25.79873153310981
52,2.08,21.4900963527588,21.680707857735616,NONE,,-35.39230039432834,,1,9,8,False,74.80929813519145,-30.667002567490727,57.8397411657465,325.65732088073673,32.218042225429336,4.285714285714286,10.855244029357891,30.0,30.833123395318296
53,2.12,21.113843868437346,21.878474633002806,NONE,,-34.06101281933907,,1,9,8,False,75.18227948997779,-33.56832193076997,60.36586842047238,325.083244579464,31.88009751707046,4.285714285714286,10.8361081526488,30.0,29.01979879326877
54,2.16,22.424322991986525,21.63102312563785,NONE,,-29.968583422775694,,1,10,8,False,75.55213168144525,-33.286697232071276,61.29633782087006,324.2273977143068,31.54498802868071,9.841269841269842,10.807579923810225,30.0,29.195814229955452
55,2.2,23.41612273922275,21.56110986612566,NONE,,-26.473081304780237,,1,10,8,False,75.80049070323159,-22.352311960770805,48.04841481939979,323.1328547285557,31.319959039674117,10.0,10.771095157618522,30.0,36.02980502451825
56,2.24,15.437795133337728,21.391166402226244,NONE,,-20.835419879649493,,1,10,9,False,79.59114942117783,-341.15928461516194,343.9657557233452,449.3567186726141,27.885382381926107,7.301587301587302,14.978557289087135,20.0,0.0
57,2.28,21.835001355720077,21.479991278650555,NONE,,-13.498669433583785,,1,10,9,False,79.71356804595835,-11.017676230246991,45.72962142844782,449.9710416184844,27.774463361663415,7.142857142857142,14.999034720616148,20.0,43.11395235609563
58,2.32,22.44220112326354,21.5836253607393,NONE,,-8.941292840333723,,1,10,9,False,79.75734243982289,-3.9396954478084467,36.47812214731706,449.0151056366376,27.734800990935494,6.984126984126984,14.967170187887922,20.0,47.53769034511972
59,2.36,22.367830990372077,21.61138603467575,NONE,,-5.846444463362523,,1,10,9,False,79.80315139079812,-4.122805587770557,36.47812214731685,448.00125061172366,27.69329518272581,6.825396825396825,14.933375020390788,20.0,47.4232465076434
60,2.4,22.326189122594556,21.68130212449768,NONE,,-4.214042217378662,,1,10,10,False,79.85099139732728,-4.305600587624099,36.47812214731713,445.70104768704005,27.64994910966636,6.825396825396825,14.856701589568003,20.0,47.30899963273494
61,2.44,21.852391258797063,22.834400596015243,NONE,,-4.396666476824471,,1,10,10,False,79.90085881117518,-4.4880672463115445,36.47812214731713,444.3752940221566,27.604766077289057,5.079365079365079,14.812509800738551,20.0,47.19495797105529
62,2.48,22.185306503191295,24.026187848281598,NONE,,-4.578955918485583,,1,10,10,False,79.95274983879287,-4.670192485591684,36.47812214731685,445.7656129789193,27.557749522789308,6.507936507936509,14.858853765963978,20.0,47.0811296965052
63,2.52,22.11240288918983,26.003818414883938,NONE,,-5.516737894094312,,1,10,10,False,80.00666054273081,-4.851963354415005,36.47812214731706,445.46039244819804,27.508903013745535,6.349206349206349,14.84867974827327,20.0,46.96752290349062
64,2.56,21.823224439996206,27.575941937083623,NONE,,-5.909886410679199,,1,10,10,False,80.09617974817591,-8.056728490059015,38.52615584824332,444.6441448415426,27.427792949158004,6.507936507936509,14.821471494718086,20.0,44.964544693713115
